cue,defn
Acid Deposition,"Sulfur oxides  and nitrogen oxides
Acid Precipitation,"Conversion of sulfur oxides and nitrogen oxides to acids that return to Earth as rain
Active Solar Energy Systems,Solar energy system that collects energy through the use of mechanical devices like photovoltaic calls or flat-plate collectors.
Agribusiness,"Commercial agriculture characterized by integration of different steps in the food-processing industry
Agricultural Density,The ratio of the number of farmers to the total amount of land suitable for agriculture.
Agricultural Revolution,The time when human beings first domesticated plants and animals and no longer relied entirely on hunting and gathering.
Agriculture,The deliberate effort to modify a portion of Earth's surface through cultivation of crops and the raising of livestock for sustenance or economic gain.
Air Pollution,"Concentration of trace substances
Animate Power,Power supplied by people or animals.
Animism,"Belief that objects
Annexation,Legally adding land area to a city in the US.
Apartheid,Laws (no longer in effect) in South Africa that physically separated different races into different geographic areas.
Arithmetic Density,The total number of people divided by the total land area.
Autonomous Religion,A religion that doesn't have a central authority but shares ideas and cooperates informally.
Balance of Power,Condition of roughly equal strength between opposing countries or alliances of countries.
Balkanization,Process by which a state breaks down through conflicts among its ethnicities.
Balkanized,"A small geographic area that could not successfully be organized into one or more stable states because it was inhabited by many ethnicities with complex
Base Line,An east-west line designated under the Land Ordinance of 1785 to facilitate the surveying and numbering of townships in the US.
Basic Industries,Industries that sell their products or services primarily to consumers outside the settlement.
Biochemical Oxygen Demand,Amount of oxygen required by aquatic bacteria to decompose a given load of organic waste; a measure of water pollution.
Biodiversity,The number of species within a specific habitat.
Biomass Fuel,Fuel that derives from plant material and animal waste.
Blockbusting,A process by which real estate agents convince white  property owners to sell their houses at low prices because of fear that black families will soon move into the neighborhood.
Boundary,Invisible line that marks the extent of a state's territory.
Brain Drain,Large-scale emigration by talented people.
Branch (of religion),A large and fundamental division within a religion.
Break-of-Bulk Point,A location where transfer is possible from one mode of transportation to another.
Breeder Reactor,A nuclear power plant that creates its own fuel from plutonium.
British Received Pronunciation,The dialect of English associated with upper-class Britons living in the London area and now considered standard in the UK
Bulk-gaining Industry,An industry in which the final product weighs more or comprises a greater volume than the inputs.
Bulk-reducing industry,An industry in which the final product weighs less or comprises a lower volume than the inputs.
Business Services,Services that primarily meet the needs of other businesses.
Cartography,The science of making maps.
Caste,The class or distinct hereditary order into which a Hindu is assigned according to religious law.
Census Tract,"An area delineated by the US Bureau of the Census for which statistics are published; in urbanized areas
Census,A complete enumeration of a population.
Central Business District,The area of the city where retail and office activities are clustered.
Central Place Theory,"A theory that explains the distribution of services
Central Place,A market center for the exchange of services by people attracted from the surrounding area.
Centripetal Force,An attitude that tends to unify people and enhance support for a state.
Cereal Grain,A grass yielding grain for food.
Chaff,Husks of grain separated from the seed by threshing.
Chain Migration,Migration of people to a specific location because relatives or members of the same nationality previously migrated there.
Chlorofluorocarbon CFC,"A gas used as a solvent
Circulation,"Short-term
City-State,"A sovereign state comprising a city and its immediate hinterland
Clustered Rural Settlement,A rural settlement in which the houses and farm buildings of each family are situated close to each other and fields surround the settlement.
Colonialism,"Attempt by one country to establish settlements and to impose its political
Colony,A territory that is legally tied to a sovereign state rather than completely independent.
Combine,"A machine that reaps
Commercial Agriculture,Agriculture undertaken primarily to generate products for sale off the farm.
Compact State,A state in which the distance from the center to any boundary does not vary significantly.
Concentration,The spread of something over a given area.
Concentric Zone Model,A model of the internal structure of cities in which social groups are spatially arranged in a series of rings.
Connections,Relationships among people and objects across the barrier of space.
Conservation,"The sustainable use and management of a natural resource
Consumer Services,"Businesses that provide services primarily to individual consumers
Contagious Diffusion,"The rapid
Cosmogony,A set of religious beliefs concerning the origin of the universe.
Cottage Industry,"Manufacturing based in homes rather than on a factory
Council of Government,A cooperative agency consisting of representatives of local governments in a metropolitan area in the US.
Counterurbanization,Net migration from urban to rural areas in MDCs.
Creole or Creolized Language,A language that results from the mixing of a colonizer's language with the indigenous language of the people being dominated.
Crop Rotation,"The practice of rotating use of different fields from crop to crop each year
Crop,Grain or fruit gathered from a field as a harvest during a particular season.
Crude Birth Rate,"The total number of live births in a year for every 1
Crude Death Rate,"The total number of deaths for every 1
Cultural Ecology,Geographic approach that emphasizes human-environment relationships.
Cultural Landscape,Fashioning of a natural landscape by a cultural group.
Culture,"The body of customary beliefs
Custom,"The frequent repetition of an act
Demographic Transition,"The process of changing in a society's population from a condition of high crude birth and death rates and low rate of natural increase to a condition of low crude birth and death rates
Demography,The scientific study of population characteristics.
Denomination,A division of a branch that unites a number of local congregations in a single legal and administrative body.
Density,The frequency with which something exists within a given unit of area.
Density Gradient,The change in density in an urban area from the center to the periphery.
Dependency Ratio,"The number of people under the age of 15 and over the age of 64
Desertification,"Degradation of land
Development,A process of improvement in the material conditions of people through diffusion of knowledge and technology.
Dialect,"A regional variation of a language distinguished by vocabulary
Diffusion,The process of spread of a feature or trend from one place to another over time.
Diocese,The basic unit of geographic organization in the Roman Catholic Church.
Dispersed Rural Settlement,A rural settlement pattern characterized by isolated farms rather than clustered villages.
Distance Decay,The diminishing in importance and eventual disappearance of a phenomenon with increasing distance from its origin.
Distribution,The arrangement of something across Earth's surface.
Double Cropping,Harvesting twice a year from the same field.
Doubling Time,"The number of years needed to double a population
Ebonics,Dialect spoken by some African-Americans.
Economic Base,A community's collection of basic industries.
Ecumene,The portion of Earth's surface occupied by permanent human settlement.
Edge City,A large node of office and retail activities on the edge of an urban area.
Elongated State,"A state with a long
Emigration,Migration FROM a location.
Enclosure Movement,The process of consolidating small landholdings into a smaller number of larger farms in England during the 18th Century.
Environmental Determinism,A 19th- and early 20th- century approach to the study of geography that argued that the general laws sought by human geographers could be found in the physical sciences. Geography was therefore  the study of how the physical environment caused human activities.
Epidemiological Transition,Distinctive causes of death in each stage of the demographic transition.
Epidemiology,"Branch of medical science concerned with the incidence
Ethnic Cleansing,Process in which more powerful ethnic group forcibly removes a less powerful one in order to create an ethnically homogeneous region.
Ethnic Religion,A religion with a relatively concentrated spatial distribution whose principles are likely to be based on the physical characteristics of the particular location in which its adherents are concentrated.
Ethnicity,Identity with a group of people that share distinct physical and mental traits as a product of common heredity and cultural traditions.
Expansion Diffusion,The spread of a feature or trend among people from one area to another in a snowballing process.
Extinct Language,A language that was once used by people in daily activities but is no longer used.
Federal State,An internal organization of a state that allocates most powers to units of local government.
Ferrous,"Metal
Filtering,"A process of change in the use of a house
Fission,The splitting of an atomic nucleus to release energy.
Floodplain,The area subject to flooding during a given number of years according to historical trends.
Folk Culture,"Culture traditionally practiced by a small
Forced Migration,Permanent movement compelled usually by cultural factors.
Fordist Production,Form of mass production in which each worker is assigned one specific task to perform repeatedly.
Formal Region,(or uniform or homogeneous) An area in which everyone shares in one or more distinctive characteristics.
Fossil Fuel,Energy source formed from the residue of plants and animals buried millions of years ago.
Fragmented State,A state that includes several discontinuous pieces of territory.
Frontier,A zone separating two states in which neither state exercises political control.
Functional (or nodal) Region,An area organized around a nodal or focal point.
Fundamentalism,"Literal interpretation and strict adherence to basic principles of a religion (or a religious branch
Fusion,Creation of energy by joining the nuclei of two hydrogen atoms to form helium.
Gender Empowerment Measure (GEM),Compares the ability of women and men to participate in economic and political decision making.
Gender-Related Development Index (GDI),Compares the level of development of women with that of both sexes.
Gentrification,A process of converting an urban neighborhood from a predominantly low-income renter-occupied area to a predominantly middle-class owner-occupied area.
Geothermal Energy,Energy from steam or hot water produced from hot or molten underground rocks.
Gerrymandering,Process of redrawing legislative boundaries for the purpose of benefiting the party in power.
Ghetto,"During the Middle Ages
