Economics is best defined as,making choices with unlimited wants but facing a scarcity of resources
"When an economy produces more houses and fewer typewriters, this deals with the question of",what
Marginal benefit from a good is the,benefit from consuming one more unit of a good.
"In marginal benefit, when you consume one more unit of a good, the benefit _________ as consumption ___________.",benefit decreasesconsumption increases
Which event causes a movement along but not a shift of the supply curve for spinach?,A rise in the price of spinach.
"Which events cause a shift in the supply curve, and not a movement along it?","Increase in labor wages, great weather that produces more spinach, or bad weather that produces less."
The price elasticity of demand equals magnitude of the percentage change in the _______ divided by the percentage change in the ______.,percentage change in the quantity demanded divided by the percentage change in the price
Our inability to satisfy all our wants is called,scarcity
A reward that encourages an action or a penalty that discourages an action,incentive
"The social science that studies the choices that individuals, businesses, governments, and societies as they deal with scarcity and the incentives that influence and reconcile those choices.",economics
The two types of economics and their differences.,"Micro- the study of choices INDIVIDUALS make, the ways those choices interact in markets, and the influence in governments.Macro- the study of the performance of the national and the global economies."
"""Why are people buying more e-books and fewer hard copy books?"" is an example of a ____-economic question.",Micro
"""Why is the unemployment rate in the United States so high?"" is an example of a ______-economic question.",Macro
What are the two big economic questions and what do they ask?,"HOW do choices end up determining what, how, and for whom goods and services get produced?WHEN do choices made in the pursuit of self-interest also promote the social interest?"
The objects people value and produce to satisfy human wants.,Goods and services
"Agriculture accounts for less than __ percent of total U.S. production, manufactured goods for ___ percent, and services for ___ 77 percent.",12277
"In China, agriculture accounts for ___ percent of total production, manufactured goods for ___ percent and services for ____.",114743
Goods and services are produced by using productive resources economists call what?,factors of production
What are the four categories of the factors of production?,"Land, Labor, Capital, Entrepreneurship"
The factors of production are a part of what big question?,HOW
The gifts of nature that we use to produce goods and services are,Land
The work time and work effort that people devote to producing goods and services is,labor
"the quality of labor depends on ___________, which is the knowledge and skill that people obtain from education, on the job training, and work experience.",human capital
"The tools, instruments, machines, buildings, and other constructions that businesses use to produce goods and services are",capital
"The human resource that organizes land, labor, and capital is",entrepreneurship
Land earns,rent
Labor earns,wages
Capital earns,interest
Entrepreneurship earns,profit
_____ gets the goods and services depends on the incomes people earn.,Who
Making choices that you think are best for you.,Self-interest
Choices that are best for society as a whole are said to be in the,social interest
What are the two dimensions of social interest?,Efficiency and Equity
Resource use is ________ if it is not possible to make someone better off without making someone else worse off.,efficient
________ is fairness.,Equity
Self interest and social interest are a part of what big question?,WHEN
What are four topics that generate discussion that illustrate tension between self and social interest?,"Globalization, the information monopolies, climate change, and economic instability"
The expansion of international trade borrowing and lending and investment.,Globalization
The technological change of the past forty years has been called the _______ and applies to the self vs social issue of,Information revolution.The information age monopolies
A self vs social interest issue coming from burning fossil fuels to generate power and putting CO2 into the atmosphere.,Climate change
"The self vs social interest issue resulting from financial stress and the financial choices of worlds banks, businesses, and people.",Economic instability
What are the six key ideas that define the economic way of thinking?,"Tradeoff, rational choices, benefit, cost, the margin, and incentives"
A choice is a,tradeoff
People make _____ by comparing benefits and costs.,rational choices
What you gain from something,benefit
What you give up to get something,Cost
"""How much"" choices are made",at the margin
Choices respond to,incentives
What a person likes and dislikes and the intensity of those feelings,Preferences
The highest-valued alternative that must be given up to get it.,Opportunity cost
The two components of opportunity cost are,The money/good/service it costs and the time
The benefit from pursing an incremental increase in an activity is its,marginal benefit
The opportunity cost of pursing an incremental increase in an activity is its,marginal cost
"If the marginal benefit from an incremental increase exceeds its marginal cost, your rational choice is to...",do more of the activity
A statement that can be tested by checking it against facts.,Positive statement
A statement that expresses an opinion and cannot be tested.,A normative statement
What is the task of economic science?,To discover positive statements that are consistent with what we observe that enable us to understand how the economic world works.
A __________ is a description of some aspect of the economic world that includes only those features that are needed for the purpose at hand.,economic model
A graph that plots the value of one variable against the value of another variable for a number of different values of each variable.,Scatter diagram
A relationship between two variables that move in opposite directions,negative or inverse relationship
A relationship between two variables that move in the same direction,positive or direct relationship
A relationship shown bu a straight line,linear relationship
change in y / change in x,slope
If all other things relevant things remain the same.,Ceteris paribus
The boundary between those combos of goods and services that can be produced and those that cannot.,Production possibilities frontier (PPF)
To illustrate PPF we focus on two goods at a times and treat others as a constant. This means we are looking at it,ceteris paribus
All points inside the PPF or on the frontier (line) are,attainable
Points outside the PPF are,unattainable
What we achieve if we cannot produce more of one good without producing less of some other good.,Production Efficiency
Points on the frontier are,efficient
Any point inside the PPF frontier that are not ON the frontier are,inefficient
Every choice along the PPF involves a,tradeoff
Moving down along the PPF means an ______ in the good on the X axis and a _________ in the good on the Y axis.,increase on Xdecrease on Y
PPF represents,opportunity cost
The cost of producing one more unit of a service or good,Marginal cost
"As we move along the PPF (down), the opportunity cost of the X axis good ___________",increases
The benefit received from consuming one more unit of a good or service,Marginal benefit
How do we measure marginal benefit?,By the amount a person is willing to pay for an additional unit of a good or service
"The more we have of any good, the _______ is it's marginal benefit and the ______ we are willing to pay for an additional unit of it. This is the principle of decreasing __________",smallerlessmarginal benefit
The relationship between the marginal benefit of a good and the quantity of the good consumed.,marginal benefit curve
"When we cannot produce more of any one good without giving up some other good, we have achieved",production efficiency
When we cannot produce more of any one good without giving up some other good that we value more highly we have reached _____________.,Allocative efficiency
The point of ___________ is the point on the PPF at which marginal benefit equals marginal cost.,allocative efficiency
"The ""X"" graph represents",allocative efficiency
The expansion of production possibilities — an increase in the standard of living — is called,economic growth
The two key factors of economic growth are,Technological change and capital accumulation
The development of new goods and of better ways of producing goods and services,technological change
the growth of capital resources which includes human capital,Capital accumulation
What is the opportunity cost of economic growth?,Less current consumption and resources going toward research and development which can decrease production of consumption
A person can have a _________ in an activity if that person can perform the activity at a lower opportunity cost than anyone else.,comparative advantage
