cue,defn
Environment,"The sum total of our surroundings
Environmental science,The study of how the natural world functions and how humans and the environment interact.
Natural Resources,Any of the various substances and energy sources we need in order to survive.
Renewable natural resources,A natural resource that is virtually unlimited or that is replenished by the environment over relatively short periods of hours to weeks to years.
Nonrenewable natural resources,A natural resource that is in limited supply and is formed much more slowly than we use it.
Ecosystem services,"An essential service an ecosystem provides that supports life and makes economic activity possible. For example
Agricultural revolution,"The shift around 10
Industrial revolution,"The shift in the mid-1700s from rural life
Fossil fuels,"A nonrenewable natural resource such as crude oil
Tragedy of the commons,"Because no single person owns a common area
Ecological footprint,The cumulative amount of land and water required to provide the raw materials  a person or population consumes and to dispose of or recycle the waste that is produced.
Overshoot,The amount by which humanity has surpassed Earth's long-term carrying capacity for our species.
Environmental studies,An academic environmental science program that heavily incorporates the social sciences as well as the natural sciences.
Environmentalism,A social movement dedicated to protecting the natural world.
Scientific method,A formalized method for testing ideas with observations that involves several assumptions and a more or less consisten series of interrelated steps.
Hypothesis,A statement that attempts to explain a phenomenon or answer a scientific question.
Predictions,"A specific statement
Experiment,An activity designed to test the validity of a hypothesis by manipulating variables.
Variables,"In an experiment
Independent variable,The variable that the scientist manipulates in a manipulative experiment.
Dependent variable,The variable that is affected by manipulation of the independent variable.
Controlled experiment,"An experiment in which the effects of all variables are held constant
Control,The portion of an experiment in which a variable has been left unmanipulated to serve as a point of comparison with the treatment.
Treatment,The portion of an experiment in which a variable has been manipulated in order to test its effect.
Data,"Information
Manipulative experiment,An experiment in which the researcher actively chooses and manipulates the independent variable.
Natural experiments,"An experiment in which the researcher cannot directly manipulate the variables and therefore must observe nature
Correlation,A relationship among variables
Peer review,"The process by which a manuscript submitted for publication in an academic journal is examined by other specialists in the field
Theory,"A widely accepted
Paradigm,A dominant philosophical and theoretical framework within a scientific discipline.
Sustainability,A guiding principle of environmental science that requires us to live in such a way as to maintain Earth's systems and its natural resources for the foreseeable future.
Biodiversity,"The variety of life across all levels of biological organization
Millenium Ecosystem Assessment,"The most comprehensive scientific assessment of the present condition of the world's ecological systems and their ability to continue supporting our civilization. Prepared by over 2
Cornucopian,"A worldview that we will find ways to make Earth's natural resoureces meet all of our needs indefinitely and that human ingenuity will see us through any difficulty. In Greek mythology
Cassandras,"A worldview that predicts doom and disaster as a result of our environmental impacts. In Greek mythology
Sustainable development,Development that satisfies our current needs without compromising the future availability of natural resources or our future quality of life.
Triple bottom line,"An approach to sustainability that attempts to meet environmental
Geothermal energy,"Renewable energy that is generated deep within Earth. The radioactive decay of elements amid the extremely high pressures and temperatures at depth generate heat that rises to the surface in magma and through fissures and cracks. Where this energy heats groundwater
Matter,All material in the universe that has mass and occupies space.
Oxygen,The chemical element with eight protons and eight neutrons. A key element in the atmosphere that is produced by photosynthesis.
Law of conservation of matter,"Physical law stating that matter may be transformed from one type of substance into others
Hyrdogen,Hydrogen: The chemical element with 1 proton. The most abundant element in the universe. Also a possible fuel for our future economy.
Element,"A fundamental type of matter; a chemical substance with a given set of properties which cannot be broken down into substances with other properties. Chemists currently recognize 92 elements that occur in nature
Nitrogen,"The chemical element with seven protons and seven neutrons. The most abundant element in the atmosphere
Carbon,The chemical element with six protons and six neutrons. A key element in organic compounds.
Atoms,The smallest component of an element that maintains the chemical properties of that element.
Protons,A positively charged particle in the nucleus of an atom.
Neutrons,An electrically neutral (uncharged) particle in the nucleus of an atom.
Electrons,A negatively charged particle that  surrounds the nucleus of an atom.
Isotopes,"One of several forms of an element having differing numbers of neutrons in the nucleus of its atoms. Chemically
Radioactive,"The quality by which some isotopes ""decay
Half-life,"The amount of time it takes for one half the atoms of a radioisotope to emit radiation and decay. Different radioisotopes have different half-lives
Ions,An electrically charged atom or combination of atoms.
Molecules,A combination of two or more atoms.
Compound,A molecule whose atoms are composed of two or more elements.
Carbon dioxide,"A colorless gas used by plants for photosynthesis
Methane,"A colorless gas produced primarily by anaerobic decomposition. The major constituent of natural gas
Ozone,A molecule consisting of three atoms of oxygen. Absorbs ultraviolet radiation in the stratosphere. Ozone layer.
Acidic,The property of a solution in which the concentration of hydrogen ions is greater than the concentration of hydroxide (OH-) ions.
Basic,The property of a solution in which the concentration of hydroxide (OH-) ions is greater than the concentration of hydrogen ions.
pH,"A measure of the concentration of hydrogen ions in a solution. The pH scale ranges from 0 to 14: a solution with a pH of 7 is neutral
Organic compounds,"A compound made up of carbon atoms ( and
Polymers,A chemical compound or mixture of compounds consisting of long chains of repeated molecules. Some polymers play key roles in the building blocks of life.
Hydrocarbons,An organic compound consisting solely of hydrogen and carbon atoms.
Macromolecules,"A very large molecule
Proteins,A macromolecule made up of long chains of amino acids.
Nucleic acids,A macromolecule that directs the production of proteins. Includes DNA and RNA.
Deoxyribonucleic acid (DNA) and Ribonucleic acid (RNA),"DNA: A double-stranded nucleic acid composed of four nucleotides
Genes,A stretch of DNA that represents a unit of hereditary information.
Carbohydrates,"An organic compound consisting of atoms of carbon
