cue,defn
Psychology,the scientific study of behavior and mental processes; the study of the mind
Theory,formulations and ideas of the relationships among events
Pure Research,uncovering information for its own sake; no immediate application or utility
Applied Research,finding solutions to problems
Aristotle,400 BC; Greece; understanding human behavior
Socrates,"""Know Thyself"" spawned introspection"
"Fechner, Gustav"
"Wundt, Wilhelm"
Structuralism,"mind consists of sensations
"James, William"
Functionalism,emphasizes the functions of the mind vs. the elements or components of the mind
"Watson, John B."
Behaviorism,"emphasizes the observable behaviors and the relationship between stimulus and response
"Wertheimer, Koffka & Kohler"
Gestalt Psychology,"emphasized the organization and larger patterns of stimuli; ""the sum is greater than its parts""; it is the whole picture that is important and not the bits and pieces of what we perceive; Insight"
"Freud, Sigmund"
Introspection,"the process of ""looking inward"" and examining one's self and one's own actions in order to gain insight"
Insight,the sudden and often novel realization of the solution to a problem
Psychodynamic Theory,"emphasized the underlying motivations and drives behind how people think
Psychoanalysis,"refers to Freud's method of therapy and his theory of personality (id
Id,"the part of the human personality that is made up of all our inborn biological urges that seeks out immediate gratification (guided by the Pleasure Principle)
Ego,"the part of personality that helps us deal with reality by mediating between the demands of the id
Superego,"the part of the personality that acts as our moral guide and mediates between the id and the ego; contains the conscience
Biological/Evolutionary Theory,"behavior and personality are based primarily on our genetic material (genes); we act
Epigenetic Systems Theory,"our inherited genetic material predisposes us to certain traits and characteristics
Cognitive Theory,"examines the mental processes involved in how we think
Humanistic-Existential Theory,comprised of Humanism and Existentialism
Humanism,"refers to the human capacity for self-fulfillment; self-actualization; ""be all that you can be""; focuses on personal
Existentialism,"a 20th century traditional philosophy that focuses on the idea that an individual person is supposed to find their ""authentic existence"" in the world as they face choices and decisions in daily life; the perspective that people have free will and freedom of choice to make these daily decisions"
Social Cognitive Theory / Social Learning Theory,"focus on learning via observation; how we act
Sociocultural Theory,"focuses on how society
race,"grouping of people based on their physical features such as skin color
ethnicity,"grouping of people by common cultural values
sex (biology),"refers to the biological differences between males
gender,"refers to the societal/cultural differences between males and females (e.g.
Scientific Method,1. Formulate a research question2. Develop a hypothesis: a scientific statement3. Test the hypothesis4. Draw conclusions5. Make findings available
sample (for research purposes),a part of the population
random sampling,every member of a population has an equal chance of being selected to participate in the research study
stratified sampling,ensures that subgroups in the population are represented accurately in your samples
Scientific Observation,systematic recording of a participant's behavior in an unobtrusive manner that may occur in a natural or laboratory setting
Experiment,an attempt to uncover a cause-and-effect relationship between two variables
Basic parts of an experiment,a. Independent variableb. Dependent variablec. Experimental groupd. Control/Comparison groupe. Quantitative dataf. Qualitative data
Independent variable,is manipulated
Dependent variable,hypothesized to change according to the independent variable
Experimental group,receives the independent variable
Control/Comparison group,does not receive the independent variable; may receive a placebo so they don't get suspicious
placebo,"""sugar pill"""
Quantitative data,"information that is recorded in some unit of measurement (e.g. rating scales
Qualitative data,"information that is not measured numerically (e.g. narratives
random assignment,"preferred: where participants are randomly placed into either the experimental or control group; statistically
double-blind studies,both the participants and the administrators of the study are left in the dark regarding which group is the control and which is the experimental
Survey,"collection of research information via personal interview or questionnaire - however
Case study,"intensive study of one participant - often yields rich
Cross-Sectional Research,"method that helps to track change over time-involves studying groups of people who differ in age
Longitudinal Research,method that helps to track change over time-involves studying the same individual(s) over a long period of time
Cross-Sequential Research,"method that helps to track change over time-involves both cross-sectional and longitudinal research
Ecological-Systems Research,"involves examining the individual while taking into account all the environments/contexts within which the individual lives-most ideal method
Correlation/Correlation Relationship,two variables co-occur at the same time-there is no cause-effect relationship between the two variables (e.g. black hair/brown eyes);two types: positive correlation and negative correlation
Positive correlation,"both variables occur together and move in the same direction-when one goes up
Negative correlation,"both variables occur together but move in the opposite direction-when one goes up
Causal/Causal Relationship,a change in one variable is directly responsible for a change in another variable-a cause-effect relationship exists (e.g. smoking/cancer)
Ethics,a set of principles of right conduct; a theory or system of moral values
Informed Consents,participant's agreement to volunteer in the experience after receiving some information about the study
Debriefing,the purposes and methods of the research are explained to the participants after the experiment
Evolutionary Psychology,the study of how species adapt their mental processes and behavior to their environment over time
natural selection,the process whereby organisms better adapted to their environment tend to survive and produce more offspring
instinct,a typical or average pattern of behavior that is shown in specific situations that almost all members of a particular species have (e.g. fear of a tiger)
heredity,the passing on of traits from parent to children through their genes
genetics,the area of biology that studies genes
mutations,a sudden change in the genetic makeup of a member of a species that may lead to different physical traits;sometimes these changes can be adaptive and make it more likely to survive than other members of the species
Behavioral Genetics,the area of biology that focuses on the passing on of traits that lead to behaviors; this area also focuses on individual differences in behavior
Molecular Genetics,"the area of genetics that examines which genes are connected with the development of specific traits
gene,a basic unity of heredity
chromosome,"threadlike structures made of DNA molecules that contain the genes;a human cell has twenty-three pairs
DNA,deoxyribonucleic acid; the basic unit of genes
Phenotype,"the genetic traits expressed by an individual
Genotype,"an individual's entire inherited genetic material
carrier,"when genes are masked or not expressed
Gametes,"contain only one set of chromosomes; thus
Karyotype,a visual portrayal of an individual's chromosomes
Monozygotic Twins,twins who have identical genes because they were formed from one zygote splitting into two identical organisms early in development; popularly known as identical twins
Dizygotic Twins,twins who have formed when two separate ova were fertilized by two separate sperm at roughly the same time; these twins have only half their genes in common; popularly known as fraternal twins
Polygenic Traits,characteristics produced by the interaction of several genes (i.e. not based on a single gene)
Additive Genes,a number of genes makes an active contribution to a specific trait; e.g. skin color and height
Dominant Genes,"in a pair of interacting genes
Recessive Genes,"in a pair of interacting genes
X-Linked (Sex-Linked) Genes,"genes that are located only on the X-chromosome; these genes are often recessive
Types of Genes,1. Additive2. Dominant3. Recessive4. X-Linked
Common Genetic Disorders,A. Down Syndrome (Trisomy-21)B. Turner's Syndrome (XO)C. Klinefelter Syndrome (XXY)D. Fragile-X
Down Syndrome,-Trisomy-21-most common extra chromosome syndrome-extra chromosome at site 21-mental slowness-often develop Alzeheimer's disease and other problems associated with elderly persons
Turner's Syndrome,"-XO-missing chromosomes at site 23-pair 23 contains genes that affect sex and thusly sexual development-these females are less likely to develop secondary sex characteristics during adolescence
Klinefelter Syndrome,"-XXY-extra chromosome at site 23-these males are less likely to develop secondary sex characteristics in adolescence
Gynecomastia,accumulation of fat around the breast area in males
Fragile-X,"-mutation of a single gene at site 23-mutation worsens over generations-this is a common inherited chromosomal abnormality-mental deficiencies and retardation
Nervous System,is composed of neurons
neurons,a nerve cell
glial cells,"remove dead neurons and clean up waste in the nervous system; they nourish
Anatomy of a Neuron,1. Cell Body2. Nucleus3. Dendrites4. Axon5. Myelin Sheath6. Terminal Button7. Synapse8. Neurotransmitters (NTs)9. Receptor Sites
Dendrites,root like structures connected to the cell body that receive impulses from other neurons
Axon,"long
Myelin Sheath,fatty insulation that coats the axon; speeds transmission of neural impulses
Terminal Button,the end of axons
Synapse,the space between the terminal buttons of one neuron and the dendrites of another neuron
Neurotransmitters (NTs),the chemicals that help to transmit electrical impulses between neurons
Receptor Sites,place at the ends of dendrites that pick up NTs
Types of neurons,Afferent and Efferent
Afferent neurons,transmit messages from your five senses
Efferent neurons,transmit messages from your brain or spinal cord to your muscles and glands
Anatomy of an Electrical Impulse,1. Resting Potential2. Action potential3. Activation Energy4. All-or-None Principle5. Refractory Period
Resting Potential,when a neuron is at rest and not receiving any electrical impulses
Action Potential,when a neuron is stimulated by an electrical impulse
Activation Energy,there is a certain amount of electrical impulse that is required to stimulate a neuron to fire/activate
All-or-None Principle,a neuron either fires or it does not; there is no in between; there is either enough of an impuse to fire a neuron or not
Refractory Period,the time when the neuron needs to rest up before it fires up again
Types of Neurotransmitters,1. Serotonin (5HT)2. Endorphins
Serotonin,5HT: involved in behavior and psychology problems; man-made 5HT is commonly used for depression
Endorphins,inhibit pain-causing chemicals
Central Nervous System,"made up of the brain and spinal cord
Gray matter,carry messages to and from the spinal cord
White matter,carry messages to and from the brain
Peripheral Nervous System,all of the nerves outside of the brain and the spinal cord
