cue,defn
1. Mayflower Compact,1620 - The first agreement for self-government in America. It was signed by the 41 men on the Mayflower and set up a government for the Plymouth colony.
2. William Bradford,"A Pilgrim
3. Pilgrims and Puritans contrasted,"The Pilgrims were separatists who believed that the Church of England could not be reformed. Separatist groups were illegal in England
4. Massachusetts Bay Colony,1629 - King Charles gave the Puritans a right to settle and govern a colony in the Massachusetts Bay area. The colony established political freedom and a representative government.
5. Cambridge Agreement,1629 - The Puritan stockholders of the Massachusetts Bay Company agreed to emigrate to New England on the condition that they would have control of the government of the colony.
6. Puritan migration,"Many Puritans emigrated from England to America in the 1630s and 1640s. During this time
7. Church of England (Anglican Church),"The national church of England
"8. John Winthrop (1588-1649), his beliefs"
"9. Separatists, non-separatists"
10. Calvinism,Protestant sect founded by John Calvin. Emphasized a strong moral code and believed in predestination (the idea that God decided whether or not a person would be saved as soon as they were born). Calvinists supported constitutional representative government and the separation of church and state.
"11. Congregational Church, Cambridge Platform"
12. Contrast Puritan colonies with others,"Puritan colonies were self-governed
"13. Anne Hutchinson, Antinomianism"
"14. Roger Williams, Rhode Island"
15. Covenant theology,"Puritan teachings emphasized the biblical covenants: Gods covenants with Adam and with Noah
16. Voting granted to church members - 1631,1631 - The Massachusetts general court passed an act to limit voting rights to church members.
17. Half-way Covenant,"The Half-way Covenant applied to those members of the Puritan colonies who were the children of church members
18. Brattle Street Church,1698 - Founded by Thomas Brattle. His church differed from the Puritans in that it did not require people to prove that they had achieved grace in order to become full church members.
19. Thomas Hooker,"Clergyman
20. Fundamental Orders of Connecticut,"Set up a unified government for the towns of the Connecticut area (Windsor
21. Saybrook Platform,It organized town churches into county associations which sent delegates to the annual assembly which governed the colony of Connecticut.
22. Massachusetts School Law,First public education legislation in America. It declared that towns with 50 or more families had to hire a schoolmaster and that towns with over 100 families had to found a grammar school.
23. Harvard founded,1636 - Founded by a grant form the Massachusetts general court. Followed Puritan beliefs.
24. New England Confederation,"1643 - Formed to provide for the defense of the four New England colonies
25. King Philips War,"1675 - A series of battles in New Hampshire between the colonists and the Wompanowogs
26. Dominion of New England,"1686 - The British government combined the colonies of Massachusetts
27. Sir Edmond Andros,"Governor of the Dominion of New England from 1686 until 1692
28. Joint stock company,A company made up of a group of shareholders. Each shareholder contributes some money to the company and receives some share of the companys profits and debts.
"29. Virginia: purpose, problems
30. Headright system,Headrights were parcels of land consisting of about 50 acres which were given to colonists who brought indentured servants into America. They were used by the Virginia Company to attract more colonists.
31. John Smith,Helped found and govern Jamestown. His leadership and strict discipline helped the Virginia colony get through the difficult first winter.
"32. John Rolfe, tobacco"
33. Slavery begins,1619 - The first African slaves in America arrive in the Virginia colony.
34. House of Burgesses,"1619 - The Virginia House of Burgesses formed
35. Cavaliers,"In the English Civil War (1642-1647)
36. Bacons Rebellion,"1676 - Nathaniel Bacon and other western Virginia settlers were angry at Virginia Governor Berkley for trying to appease the Doeg Indians after the Doegs attacked the western settlements. The frontiersmen formed an army
37. Culperer's Rebellion,"Led by Culperer
"38. Georgia: reasons, successes"
39. James Oglethorpe,"Founder and governor of the Georgia colony. He ran a tightly-disciplined
40. Carolinas,"1665 - Charles II granted this land to pay off a debt to some supporters. They instituted headrights and a representative government to attract colonists. The southern region of the Carolinas grew rich off its ties to the sugar islands
"41. John Locke, Fundamental Constitution"
42. Charleston,"1690 - The first permanent settlement in the Carolinas
43. Staple crops in the South,"Tobacco was grown in Virginia
"44. Pennsylvania, William Penn"
45. Liberal land laws in Pennsylvania,"William Penn allowed anyone to emigrate to Pennsylvania
46. Holy experiment,"William Penns term for the government of Pennsylvania
